id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Price,Retail,LogPrice,LogRetail
1,0.41,NA,SI1,L, ,65.4,FALSE,4.65x4.62x3.03,Very good,Other/Unknown,Princess,Good,NA,1,430,850,6.063785209,6.745236349
2,0.42,AGSL,SI2,L, ,61.7,FALSE,4.85x4.79x2.98,Excellent,Russia,Marquise,Very good,NA,1,560,920,6.327936784,6.82437367
3,0.4,AGSL,SI1,L, ,64,FALSE,4.66x4.63x2.97,Excellent,South Africa,Round,Excellent,57,1,560,575,6.327936784,6.354370041
4,0.41,AGSL,SI2,L, ,62.7,FALSE,4.71x4.69x2.95,Very good,Botswana,Round,Very good,58,1,560,825,6.327936784,6.715383386
5,0.4,AGSL,SI1,L, ,63,FALSE,4.71x4.68x2.96,Excellent,Botswana,Round,Very good,58,1,580,890,6.363028104,6.791221463
6,0.4,AGSL,VS2,M, ,59.9,FALSE,4.75x4.74x2.84,Very good,Botswana,Round,Very good,64,1,580,945,6.363028104,6.851184927
7,0.4,AGSL,VVS1,M, ,63.4,FALSE,4.68x4.65x2.95,Very good,South Africa,Round,Good,58,1,580,950,6.363028104,6.856461985
8,0.4,AGSL,VS2,M, ,62.4,FALSE,4.69x4.66x2.91,Excellent,Russia,Round,Very good,59,1,585,965,6.371611847,6.872128101
9,0.4,AGSL,SI1,L, ,NA,FALSE,4.77x4.75x2.93,Excellent,Botswana,Round,Very good,58,1,585,885,6.371611847,6.785587645
10,0.4,AGSL,SI1,L, ,62.9,FALSE,4.72x4.69x2.96,Excellent,Russia,Round,Very good,55,1,585,965,6.371611847,6.872128101
11,0.4,AGSL,VS2,L, ,62.9,FALSE,4.74x4.71x2.97,Excellent,Canada,Round,Excellent,NA,1,590,975,6.380122537,6.882437471
12,0.41,AGSL,VS2,L, ,62.1,FALSE,4.8x4.77x2.97,Excellent,DR Congo,Round,Very good,57,1,595,970,6.388561406,6.877296071
13,0.41,AGSL,SI2,K, ,NA,FALSE,4.76x4.73x2.94,Excellent,Botswana,Oval,Excellent,NA,1,595,970,6.388561406,6.877296071
14,0.4,AGSL,SI1,K, ,64.3,FALSE,4.67x4.63x2.99,Very good,Botswana,Round,Very good,55,1,600,840,6.396929655,6.733401892
15,0.4,AGSL,VS1,M, ,59.4,FALSE,4.81x4.78x2.85,Very good,Zimbabwe,Radiant,Very good,56,1,600,630,6.396929655,6.445719819
16,0.42,AGSL,SI1,L, ,NA,FALSE,4.83x4.82x2.98,Excellent,South Africa,Round,Very good,58,1,600,805,6.396929655,6.690842277
17,0.41,AGSL,SI1,L, ,62.7,FALSE,4.76x4.75x2.98,Very good,Canada,Round,Excellent,57,1,600,990,6.396929655,6.897704943
18,0.4,AGSL,SI1,K, ,62.8,FALSE,4.72x4.68x2.95,Very good,Russia,Round,Very good,58,1,600,990,6.396929655,6.897704943
19,0.42,GemEx,SI2,L, ,62.1,FALSE,4.82x4.8x2.99,Excellent,Botswana,Round,Excellent,57,2,605,955,6.405228458,6.86171134
20,0.4,GemEx,SI1,K, ,NA,FALSE,4.71x4.68x2.95,Very good,Angola,Princess,Excellent,58,1,605,1000,6.405228458,6.907755279
21,0.42,AGSL,VS2,K, ,NA,FALSE,4.81x4.79x2.99,Excellent,Botswana,Round,Excellent,NA,1,610,625,6.413458957,6.43775165
22,0.41,AGSL,SI2,K, ,62,FALSE,4.76x4.74x2.94,Excellent,Australia,Round,Excellent,NA,1,610,1005,6.413458957,6.91274282
23,0.4,AGSL,VS2,K, ,58.2,FALSE,4.87x4.84x2.83,Excellent,Botswana,Round,Excellent,64,1,610,1005,6.413458957,6.91274282
24,0.4,AGSL,SI2,K, ,60.8,FALSE,4.78x4.75x2.9,Excellent,Angola,Round,Very good,58,1,610,1005,6.413458957,6.91274282
25,0.42,AGSL,VS2,M, ,61.4,FALSE,4.84x4.82x2.97,Excellent,Botswana,Radiant,Very good,NA,1,615,925,6.421622268,6.829793738
26,0.41,AGSL,SI2,K, ,62.3,FALSE,4.75x4.73x2.95,Excellent,Russia,Emerald,Very good,57,1,615,420,6.421622268,6.040254711
27,0.42,AGSL,SI1,L, ,60.9,FALSE,4.85x4.83x2.95,Very good,Russia,Pear,Very good,59,1,615,1015,6.421622268,6.922643891
28,0.4,AGSL,SI1,K, ,62.2,FALSE,4.73x4.67x2.92,Excellent,DR Congo,Emerald,Very good,61,1,615,855,6.421622268,6.751101469
29,0.42,AGSL,SI2,K, ,62.7,FALSE,4.81x4.78x3.01,Very good,Canada,Radiant,Very good,57,1,615,1015,6.421622268,6.922643891
30,0.4,AGSL,VS1,L, ,64.4,FALSE,4.67x4.64x3,Excellent,Other/Unknown,Princess,Very good,56,1,620,1020,6.429719478,6.927557906
31,0.41,AGSL,SI2,K, ,61.1,FALSE,4.79x4.77x2.92,Very good,South Africa,Round,Excellent,59,1,625,965,6.43775165,6.872128101
32,0.41,AGSL,SI1,K, ,61.3,FALSE,4.8x4.77x2.93,Excellent,South Africa,Princess,Excellent,60,1,625,990,6.43775165,6.897704943
33,0.41,AGSL,VS1,M, ,NA,FALSE,4.78x4.75x2.95,Excellent,South Africa,Round,Very good,NA,1,625,895,6.43775165,6.796823718
34,0.4,AGSL,VS1,K, ,61.1,FALSE,4.74x4.72x2.89,Very good,DR Congo,Round,Very good,NA,1,625,815,6.43775165,6.703188113
35,0.41,AGSL,VS2,L, ,61.6,FALSE,4.79x4.77x2.94,Very good,Russia,Oval,Very good,56,1,625,1025,6.43775165,6.932447892
36,0.4,AGSL,VVS1,L, ,62.3,TRUE,4.69x4.64x2.9,Very good,Angola,Round,Very good,NA,1,630,115,6.445719819,4.744932128
37,0.4,AGSL,SI1,K, ,62.7,FALSE,4.72x4.63x2.93,Very good,Russia,Round,Good,56,1,635,1045,6.453624999,6.951772164
38,0.42,AGSL,SI1,L, ,61.8,FALSE,4.84x4.81x2.98,Excellent,Russia,Princess,Excellent,58,1,635,1045,6.453624999,6.951772164
39,0.42,AGSL,SI1,L, ,NA,FALSE,4.82x4.79x2.94,Good,Russia,Round,Very good,NA,1,635,1045,6.453624999,6.951772164
40,0.4,AGSL,VS2,K, ,63.1,FALSE,4.68x4.63x2.94,Excellent,South Africa,Princess,Very good,58,1,635,935,6.453624999,6.840546529
41,0.41,AGSL,VS1,L, ,61.3,FALSE,4.81x4.78x2.94,Excellent,Russia,Round,Very good,56,1,635,1045,6.453624999,6.951772164
42,0.4,AGSL,VVS2,L, ,63.4,FALSE,4.67x4.64x2.95,Very good,Russia,Round,Very good,58,1,635,1010,6.453624999,6.91770561
43,0.4,AGSL,VS2,L, ,62.2,FALSE,4.73x4.7x2.93,Very good,Russia,Round,Very good,57,1,635,1045,6.453624999,6.951772164
44,0.4,NA,VS2,K, ,NA,FALSE,4.69x4.68x2.86,Excellent,Australia,Round,Very good,NA,1,545,625,6.300785795,6.43775165
45,0.4,AGSL,SI1,K, ,62.6,FALSE,4.75x4.72x2.96,Excellent,Russia,Pear,Very good,56,1,640,1060,6.461468176,6.966024187
46,0.4,AGSL,SI1,K, ,NA,FALSE,4.79x4.77x2.93,Excellent,Russia,Round,Excellent,57,1,640,1060,6.461468176,6.966024187
47,0.4,AGSL,SI1,K, ,60.4,FALSE,4.81x4.78x2.9,Excellent,Australia,Princess,Excellent,59,1,640,1060,6.461468176,6.966024187
48,0.41,AGSL,VS2,L, ,60,FALSE,4.84x4.83x2.9,Excellent,Russia,Round,Excellent,60,1,640,1055,6.461468176,6.961296046
49,0.4,AGSL,VS1,L, ,62.9,FALSE,4.72x4.7x2.96,Excellent,Russia,Round,Very good,NA,1,645,1065,6.469250317,6.970730078
50,0.4,AGSL,VS1,L, ,NA,FALSE,4.7x4.67x2.93,Excellent,Russia,Princess,Very good,NA,1,645,1065,6.469250317,6.970730078
51,0.41,AGSL,SI1,K, ,62.1,FALSE,4.8x4.77x2.97,Excellent,Angola,Round,Excellent,NA,2,650,1070,6.476972363,6.975413927
52,0.41,AGSL,VS2,L, ,61.6,FALSE,4.76x4.73x2.92,Very good,Australia,Round,Excellent,58,1,650,1070,6.476972363,6.975413927
53,0.4,AGSL,VS2,K, ,62.4,FALSE,4.71x4.7x2.94,Very good,Russia,Asscher,Excellent,59,1,655,1080,6.484635236,6.98471632
54,0.4,GemEx,VS1,L, ,62,FALSE,4.75x4.72x2.94,Excellent,Russia,Round,Very good,57,1,655,1080,6.484635236,6.98471632
55,0.4,AGSL,VS1,K, ,62.9,FALSE,4.69x4.63x2.93,Very good,Russia,Round,Very good,60,1,655,1080,6.484635236,6.98471632
56,0.4,AGSL,VS2,K, ,60.6,FALSE,4.8x4.78x2.9,Very good,South Africa,Radiant,Excellent,NA,1,655,980,6.484635236,6.887552572
57,0.4,AGSL,VVS2,M, ,62.3,FALSE,4.75x4.72x2.95,Excellent,Australia,Round,Excellent,57,1,655,1080,6.484635236,6.98471632
58,0.4,AGSL,VVS1,L, ,61.7,FALSE,4.68x4.66x2.88,Very good,DR Congo,Round,Good,60,1,660,1040,6.492239835,6.946975992
59,0.41,AGSL,VS2,K, ,62.2,FALSE,4.76x4.73x2.95,Excellent,Australia,Round,Very good,NA,1,660,1090,6.492239835,6.993932975
60,0.43,AGSL,SI1,K, ,61.6,TRUE,4.87x4.85x2.99,Excellent,Angola,Round,Excellent,NA,1,660,95,6.492239835,4.553876892
61,0.4,AGSL,VS2,K, ,61.6,FALSE,4.78x4.73x2.93,Excellent,Canada,Round,Very good,NA,1,665,1095,6.499787041,6.998509642
62,0.41,AGSL,SI1,K, ,NA,FALSE,4.86x4.83x2.88,Very good,Russia,Radiant,Excellent,NA,1,665,1100,6.499787041,7.003065459
63,0.4,GemEx,VS2,K, ,61.1,FALSE,4.77x4.73x2.9,Excellent,Canada,Round,Very good,NA,1,665,1095,6.499787041,6.998509642
64,0.42,GemEx,SI1,K, ,NA,FALSE,4.83x4.8x3,Very good,Australia,Round,Excellent,NA,2,665,1005,6.499787041,6.91274282
65,0.4,AGSL,VVS2,L, ,63.1,FALSE,4.7x4.66x2.95,Very good,Botswana,Round,Excellent,57,1,665,1050,6.499787041,6.956545443
66,0.41,AGSL,VS2,L, ,61.7,FALSE,4.76x4.73x2.93,Excellent,South Africa,Emerald,Excellent,59,1,665,980,6.499787041,6.887552572
67,0.4,AGSL,VVS2,L, ,NA,FALSE,4.74x4.7x2.94,Very good,Botswana,Round,Excellent,57,1,665,1005,6.499787041,6.91274282
68,0.43,AGSL,VS2,L, ,60.9,FALSE,4.91x4.88x2.98,Very good,DR Congo,Round,Excellent,NA,1,670,990,6.507277712,6.897704943
69,0.41,AGSL,VS1,L, ,62.4,FALSE,4.76x4.71x2.95,Excellent,Botswana,Round,Good,55,1,670,1040,6.507277712,6.946975992
70,0.42,AGSL,SI1,K, ,61.6,FALSE,4.83x4.8x2.96,Excellent,Russia,Oval,Very good,59,1,675,1110,6.514712691,7.012115294
71,0.43,AGSL,SI2,K, ,62.6,TRUE,4.84x4.8x3.02,Excellent,Angola,Oval,Excellent,56,1,675,130,6.514712691,4.86753445
72,0.42,AGSL,VVS1,K, ,62.7,FALSE,4.8x4.78x3,Very good,Russia,Princess,Excellent,56,1,675,1035,6.514712691,6.942156706
73,0.4,AGSL,VS2,K, ,NA,TRUE,4.79x4.77x2.9,Very good,Angola,Round,Very good,56,1,680,115,6.522092798,4.744932128
74,0.4,AGSL,VVS1,L, ,NA,FALSE,4.71x4.66x2.92,Excellent,Canada,Round,Very good,NA,1,680,1120,6.522092798,7.021083964
75,0.43,AGSL,SI1,K, ,60.3,FALSE,4.92x4.89x2.96,Excellent,South Africa,Oval,Excellent,NA,1,680,1020,6.522092798,6.927557906
76,0.44,AGSL,VS1,M, ,NA,FALSE,4.92x4.89x3.02,Very good,South Africa,Round,Very good,NA,1,680,1100,6.522092798,7.003065459
77,0.4,NA,VS1,K, ,NA,FALSE,4.72x4.65x2.94,Very good,Botswana,Round,Very good,NA,1,550,850,6.309918278,6.745236349
78,0.4,AGSL,SI2,J, ,NA,FALSE,4.67x4.65x2.93,Excellent,Canada,Round,Very good,NA,1,685,1125,6.529418838,7.025538315
79,0.44,AGSL,VS2,L, ,NA,FALSE,4.94x4.9x2.98,Very good,DR Congo,Princess,Excellent,60,1,685,1065,6.529418838,6.970730078
80,0.4,AGSL,VVS1,K, ,62.6,FALSE,4.65x4.63x2.91,Excellent,South Africa,Emerald,Very good,NA,1,685,1120,6.529418838,7.021083964
81,0.42,GemEx,VS2,L, ,62.3,FALSE,4.79x4.77x2.98,Excellent,Canada,Round,Excellent,57,1,685,1125,6.529418838,7.025538315
82,0.4,AGSL,I1,F, ,62.1,FALSE,4.74x4.69x2.93,Very good,Canada,Round,Very good,NA,1,685,1130,6.529418838,7.029972912
83,0.4,AGSL,VVS2,K, ,62.1,FALSE,4.69x4.67x2.91,Very good,Angola,Round,Excellent,60,1,690,1065,6.536691598,6.970730078
84,0.43,AGSL,SI1,K, ,62.1,FALSE,4.86x4.83x3.01,Very good,Other/Unknown,Round,Excellent,57,1,690,1135,6.536691598,7.03438793
85,0.41,AGSL,VS2,K, ,61.7,FALSE,4.77x4.76x2.94,Very good,DR Congo,Princess,Very good,58,1,690,1070,6.536691598,6.975413927
86,0.42,AGSL,VS2,K, ,NA,FALSE,4.79x4.77x2.98,Excellent,Angola,Round,Excellent,NA,1,695,1150,6.543911846,7.047517221
87,0.4,AGSL,VS1,K, ,62,FALSE,4.7x4.68x2.91,Excellent,Australia,Round,Very good,60,1,695,1140,6.543911846,7.038783541
88,0.4,AGSL,SI2,J, ,NA,FALSE,4.67x4.66x2.93,Excellent,Russia,Round,Very good,NA,1,695,1140,6.543911846,7.038783541
89,0.4,AGSL,SI2,J, ,64.1,FALSE,4.6x4.63x2.96, ,DR Congo,Emerald, ,56,1,695,1020,6.543911846,6.927557906
90,0.4,AGSL,VVS1,K, ,63.2,FALSE,4.67x4.64x2.94,Excellent,Australia,Oval,Very good,58,1,695,1145,6.543911846,7.043159916
91,0.4,AGSL,VS1,K, ,62.2,FALSE,4.68x4.66x2.91,Very good,Australia,Round,Very good,59,1,695,1140,6.543911846,7.038783541
92,0.41,AGSL,SI2,J, ,59.3,FALSE,4.85x4.84x2.87,Excellent,Other/Unknown,Radiant,Excellent,NA,1,700,1155,6.551080335,7.051855623
93,0.4,AGSL,SI1,J, ,62.7,FALSE,4.67x4.63x2.91,Excellent,Angola,Marquise,Very good,60,1,555,1155,6.318968114,7.051855623
94,0.41,AGSL,VS2,K, ,60.6,FALSE,4.84x4.81x2.93,Very good,Botswana,Pear,Excellent,60,1,700,1010,6.551080335,6.91770561
95,0.42,AGSL,VVS2,L, ,59.9,FALSE,4.91x4.88x2.93,Very good,Australia,Princess,Excellent,58,1,700,1150,6.551080335,7.047517221
96,0.4,AGSL,SI1,J, ,61.8,TRUE,4.76x4.72x2.93,Very good,Angola,Round,Excellent,58,1,700,75,6.551080335,4.317488114
97,0.43,AGSL,VVS2,L, ,62.2,FALSE,4.84x4.81x3,Very good,Russia,Round,Excellent,57,1,705,1160,6.558197803,7.056175284
98,0.4,AGSL,VVS1,K, ,63.1,FALSE,4.68x4.66x2.95,Very good,Australia,Princess,Excellent,58,1,705,1165,6.558197803,7.060476366
99,0.4,AGSL,VVS1,K, ,63.5,FALSE,4.65x4.62x2.95,Very good,Other/Unknown,Pear,Excellent,NA,1,705,1135,6.558197803,7.03438793
100,0.4,AGSL,VS2,J, ,64.8,FALSE,4.64x4.61x3,Excellent,Russia,Princess,Very good,NA,1,705,1165,6.558197803,7.060476366
101,0.4,AGSL,VVS1,K, ,59,FALSE,4.82x4.79x2.84,Excellent,Botswana,Oval,Good,NA,1,705,1085,6.558197803,6.989335266
102,0.4,AGSL,SI2,J, ,60.2,FALSE,4.76x4.73x2.86,Excellent,Botswana,Emerald,Very good,NA,1,705,1120,6.558197803,7.021083964
103,0.4,AGSL,SI1,J, ,63.6,FALSE,4.67x4.64x2.96,Excellent,Botswana,Round,Very good,57,1,710,1130,6.56526497,7.029972912
104,0.4,AGSL,SI2,J, ,61.4,FALSE,4.76x4.75x2.92,Very good,Russia,Round,Very good,NA,1,715,1175,6.572282543,7.069023427
105,0.45,AGSL,SI1,K, ,62.2,FALSE,4.92x4.9x3.05,Excellent,Botswana,Round,Excellent,56,1,715,1120,6.572282543,7.021083964
106,0.4,AGSL,VS2,J, ,64.5,FALSE,4.63x4.62x2.98,Excellent,Russia,Cushion,Very good,NA,1,715,1180,6.572282543,7.073269717
107,0.4,AGSL,VS2,J, ,59.5,FALSE,4.77x4.8x2.85,Good,Botswana,Pear,Good,62,1,720,1025,6.579251212,6.932447892
108,0.41,AGSL,VS1,K, ,61.8,FALSE,4.79x4.76x2.95,Excellent,Australia,Radiant,Excellent,57,1,720,1190,6.579251212,7.081708586
109,0.4,AGSL,VS2,J, ,64,FALSE,4.68x4.64x2.98,Very good,Australia,Oval,Very good,55,1,725,825,6.586171655,6.715383386
110,0.4,AGSL,SI2,I, ,NA,TRUE,4.63x4.6x3.04,Excellent,Angola,Round,Very good,NA,1,725,110,6.586171655,4.700480366
111,0.4,AGSL,VVS1,K, ,59.6,FALSE,4.8x4.78x2.86,Very good,Russia,Round,Very good,62,1,725,1200,6.586171655,7.090076836
112,0.4,AGSL,VVS1,K, ,63.1,FALSE,4.7x4.67x2.96,Very good,Russia,Marquise,Excellent,NA,1,725,825,6.586171655,6.715383386
113,0.4,GemEx,VS2,J, ,58.2,FALSE,4.83x4.8x2.8,Very good,Russia,Round,Very good,NA,1,725,1200,6.586171655,7.090076836
114,0.41,AGSL,SI2,I, ,61.7,FALSE,4.78x4.75x2.94,Very good,Australia,Marquise,Very good,56,1,725,1190,6.586171655,7.081708586
115,0.4,AGSL,SI2,H, ,64.4,FALSE,4.59x4.55x2.95,Very good,Russia,Round,Very good,59,1,730,1200,6.593044534,7.090076836
116,0.4,AGSL,SI2,H, ,NA,FALSE,4.66x4.68x3, ,Russia,Round, ,55,1,730,1205,6.593044534,7.094234846
117,0.41,NA,SI2,J, ,61.8,FALSE,4.8x4.78x2.96,Very good,Australia,Round,Excellent,58,2,600,955,6.396929655,6.86171134
118,0.41,AGSL,VS1,K, ,62.4,FALSE,4.76x4.74x2.96,Very good,Botswana,ROUND,Excellent,56,1,730,1125,6.593044534,7.025538315
119,0.4,AGSL,SI1,J, ,62.9,FALSE,4.7x4.68x2.95,Very good,South Africa,Round,Very good,NA,1,730,995,6.593044534,6.902742737
120,0.41,GemEx,SI2,J, ,NA,FALSE,4.85x4.82x2.89,Excellent,Russia,Marquise,Very good,58,1,730,1205,6.593044534,7.094234846
121,0.41,AGSL,SI1,J, ,63.7,FALSE,4.66x4.64x2.96,Very good,DR Congo,Round,Excellent,58,1,730,1105,6.593044534,7.007600614
